feedback_id,employee_id,department,feedback_date,feedback_text,rating,sentiment
FB313,EMP313,HR,2024-04-27,"Poor work-life balance, too much overtime required.",2,Negative
FB314,EMP314,Marketing,2025-03-22,Collaborative environment and friendly colleagues.,5,Positive
FB315,EMP315,Operations,2025-06-03,"The benefits are fine, but could be better.",3,Neutral
FB316,EMP316,Sales,2025-08-23,Communication from leadership is very poor.,1,Negative
FB317,EMP317,IT,2024-07-24,"Steady work, but not very exciting.",3,Neutral
FB318,EMP318,Engineering,2025-09-15,"Poor work-life balance, too much overtime required.",1,Negative
FB319,EMP319,HR,2025-12-12,The workload is too heavy and I feel burned out.,1,Negative
FB320,EMP320,Marketing,2024-09-30,I feel very appreciated by my manager.,4,Positive
FB321,EMP321,Engineering,2024-06-20,The new training program was very helpful.,5,Positive
FB322,EMP322,Operations,2024-09-29,"Management is alright, some good days and bad days.",3,Neutral
FB323,EMP323,Operations,2024-05-02,"Steady work, but not very exciting.",3,Neutral
FB324,EMP324,Operations,2025-06-20,Management doesn't listen to our concerns.,2,Negative
FB325,EMP325,Engineering,2024-11-23,Collaborative environment and friendly colleagues.,5,Positive
FB326,EMP326,HR,2024-01-19,The new training program was very helpful.,5,Positive
FB327,EMP327,HR,2024-10-23,The compensation is below market average.,1,Negative
FB328,EMP328,IT,2025-06-21,I love the culture and the projects I am working on.,5,Positive
FB329,EMP329,IT,2025-08-24,Lack of career progression and training.,1,Negative
FB330,EMP330,IT,2024-03-01,Amazing opportunities for growth and learning.,5,Positive
FB331,EMP331,Finance,2024-01-12,"I really enjoy working here, the team is great.",5,Positive
FB332,EMP332,Marketing,2025-01-31,Communication from leadership is very poor.,1,Negative
FB333,EMP333,Operations,2024-01-21,"Management is alright, some good days and bad days.",3,Neutral
FB334,EMP334,Engineering,2025-02-08,The compensation is below market average.,1,Negative
FB335,EMP335,IT,2025-05-19,The tools we use are outdated and slow.,2,Negative
FB336,EMP336,Customer Support,2024-01-14,"Management is alright, some good days and bad days.",3,Neutral
FB337,EMP337,Customer Support,2025-06-22,The compensation is below market average.,1,Negative
FB338,EMP338,HR,2025-12-25,"The benefits are fine, but could be better.",3,Neutral
FB339,EMP339,Marketing,2025-05-21,I love the culture and the projects I am working on.,5,Positive
FB340,EMP340,Operations,2025-02-12,"Steady work, but not very exciting.",3,Neutral
FB341,EMP341,Engineering,2024-05-09,Management doesn't listen to our concerns.,1,Negative
FB342,EMP342,HR,2024-10-01,"It's a standard job, nothing special to report.",3,Neutral
FB343,EMP343,Engineering,2024-02-01,Great work-life balance and excellent benefits.,4,Positive
FB344,EMP344,HR,2025-06-04,Management doesn't listen to our concerns.,2,Negative
FB345,EMP345,Customer Support,2024-05-10,Lack of career progression and training.,2,Negative
FB346,EMP346,Marketing,2025-07-26,I love the culture and the projects I am working on.,5,Positive
FB347,EMP347,HR,2024-08-08,"I really enjoy working here, the team is great.",4,Positive
FB348,EMP348,Sales,2024-08-08,Management doesn't listen to our concerns.,1,Negative
FB349,EMP349,Customer Support,2025-10-09,I don't feel valued for the work I do.,2,Negative
FB350,EMP350,Marketing,2024-02-23,Great work-life balance and excellent benefits.,4,Positive
FB351,EMP351,Marketing,2024-02-01,The compensation is below market average.,2,Negative
FB352,EMP352,Customer Support,2025-11-20,I don't feel valued for the work I do.,2,Negative
FB353,EMP353,Engineering,2025-08-14,"The benefits are fine, but could be better.",3,Neutral
FB354,EMP354,Marketing,2024-07-06,"Poor work-life balance, too much overtime required.",2,Negative
FB355,EMP355,Sales,2025-04-25,"Steady work, but not very exciting.",3,Neutral
FB356,EMP356,Marketing,2024-08-11,Average workplace experience overall.,3,Neutral
FB357,EMP357,Operations,2024-08-24,Average workplace experience overall.,3,Neutral
FB358,EMP358,Finance,2025-06-17,"It's a standard job, nothing special to report.",3,Neutral
FB359,EMP359,IT,2024-11-25,"Poor work-life balance, too much overtime required.",1,Negative
FB360,EMP360,Finance,2024-06-05,I love the culture and the projects I am working on.,5,Positive
FB361,EMP361,Engineering,2025-07-25,I don't feel valued for the work I do.,1,Negative
FB362,EMP362,IT,2025-09-07,The office environment is adequate.,3,Neutral
FB363,EMP363,Engineering,2024-07-01,Amazing opportunities for growth and learning.,4,Positive
FB364,EMP364,Marketing,2024-11-20,I feel very appreciated by my manager.,4,Positive
FB365,EMP365,Sales,2025-05-20,"Steady work, but not very exciting.",3,Neutral
FB366,EMP366,Operations,2024-01-26,The management is very supportive and I feel valued.,4,Positive
FB367,EMP367,Marketing,2024-05-25,Lack of career progression and training.,2,Negative
FB368,EMP368,Engineering,2025-12-31,"Steady work, but not very exciting.",3,Neutral
FB369,EMP369,Marketing,2025-02-13,Lack of career progression and training.,2,Negative
FB370,EMP370,Marketing,2025-11-24,Amazing opportunities for growth and learning.,5,Positive
FB371,EMP371,Engineering,2025-05-23,The workload is too heavy and I feel burned out.,2,Negative
FB372,EMP372,IT,2024-06-10,I feel very appreciated by my manager.,5,Positive
FB373,EMP373,Operations,2024-03-09,"Management is alright, some good days and bad days.",3,Neutral
FB374,EMP374,HR,2025-07-08,I feel very appreciated by my manager.,4,Positive
FB375,EMP375,Customer Support,2024-06-20,I love the culture and the projects I am working on.,4,Positive
FB376,EMP376,Sales,2024-12-27,Average workplace experience overall.,3,Neutral
FB377,EMP377,Engineering,2025-05-16,"Poor work-life balance, too much overtime required.",1,Negative
FB378,EMP378,Operations,2024-03-18,"Steady work, but not very exciting.",3,Neutral
FB379,EMP379,Finance,2025-01-03,The management is very supportive and I feel valued.,4,Positive
FB380,EMP380,Customer Support,2025-04-08,"I really enjoy working here, the team is great.",4,Positive
FB381,EMP381,Engineering,2025-05-17,"Steady work, but not very exciting.",3,Neutral
FB382,EMP382,Operations,2024-08-25,"It's a standard job, nothing special to report.",3,Neutral
FB383,EMP383,Marketing,2024-05-05,I feel very appreciated by my manager.,5,Positive
FB384,EMP384,HR,2025-05-06,Great work-life balance and excellent benefits.,4,Positive
FB385,EMP385,IT,2024-12-02,"It's a standard job, nothing special to report.",3,Neutral
FB386,EMP386,Finance,2024-09-03,The tools we use are outdated and slow.,2,Negative
FB387,EMP387,IT,2025-02-19,Communication from leadership is very poor.,2,Negative
FB388,EMP388,Sales,2024-08-20,Collaborative environment and friendly colleagues.,5,Positive
FB389,EMP389,Finance,2025-09-15,"Management is alright, some good days and bad days.",3,Neutral
FB390,EMP390,Operations,2025-03-31,Communication from leadership is very poor.,2,Negative
FB391,EMP391,Operations,2025-07-05,"Steady work, but not very exciting.",3,Neutral
FB392,EMP392,Customer Support,2025-01-26,The office environment is adequate.,3,Neutral
FB393,EMP393,Operations,2025-11-02,The office environment is adequate.,3,Neutral
FB394,EMP394,IT,2025-08-31,The new training program was very helpful.,5,Positive
FB395,EMP395,Engineering,2024-02-13,Communication from leadership is very poor.,1,Negative
FB396,EMP396,Sales,2024-08-13,Great work-life balance and excellent benefits.,5,Positive
FB397,EMP397,Engineering,2025-02-06,Average workplace experience overall.,3,Neutral
FB398,EMP398,Operations,2024-04-29,The tools we use are outdated and slow.,2,Negative
FB399,EMP399,IT,2025-06-23,"I really enjoy working here, the team is great.",4,Positive
FB400,EMP400,IT,2024-10-14,"The work is okay, typical corporate environment.",3,Neutral
FB401,EMP401,HR,2024-09-02,I feel very appreciated by my manager.,5,Positive
FB402,EMP402,IT,2025-09-20,The office environment is adequate.,3,Neutral
FB403,EMP403,Customer Support,2025-02-22,The tools we use are outdated and slow.,1,Negative
FB404,EMP404,HR,2025-07-02,Amazing opportunities for growth and learning.,4,Positive
FB405,EMP405,Sales,2024-06-18,Communication from leadership is very poor.,1,Negative
FB406,EMP406,Finance,2024-06-12,"Steady work, but not very exciting.",3,Neutral
FB407,EMP407,IT,2025-08-21,I feel very appreciated by my manager.,5,Positive
FB408,EMP408,Finance,2025-06-11,Amazing opportunities for growth and learning.,5,Positive
FB409,EMP409,Customer Support,2025-11-01,Management doesn't listen to our concerns.,1,Negative
FB410,EMP410,Sales,2024-07-11,Great work-life balance and excellent benefits.,5,Positive
FB411,EMP411,Sales,2024-07-31,Lack of career progression and training.,2,Negative
FB412,EMP412,IT,2025-02-25,The management is very supportive and I feel valued.,5,Positive
FB413,EMP413,HR,2025-08-20,Amazing opportunities for growth and learning.,4,Positive
FB414,EMP414,IT,2024-03-16,"Poor work-life balance, too much overtime required.",1,Negative
FB415,EMP415,HR,2025-08-23,I love the culture and the projects I am working on.,5,Positive
FB416,EMP416,Finance,2024-12-10,The tools we use are outdated and slow.,1,Negative
FB417,EMP417,Sales,2025-03-27,"Just doing my daily tasks, things are normal.",3,Neutral
FB418,EMP418,Operations,2024-04-20,The office environment is adequate.,3,Neutral
FB419,EMP419,Customer Support,2025-05-02,I don't feel valued for the work I do.,1,Negative
FB420,EMP420,Operations,2025-07-15,Management doesn't listen to our concerns.,2,Negative
FB421,EMP421,IT,2024-07-31,"The work is okay, typical corporate environment.",3,Neutral
FB422,EMP422,IT,2024-01-11,I love the culture and the projects I am working on.,5,Positive
FB423,EMP423,Engineering,2024-02-22,The compensation is below market average.,1,Negative
FB424,EMP424,Sales,2025-12-09,"Management is alright, some good days and bad days.",3,Neutral
FB425,EMP425,HR,2024-07-17,Amazing opportunities for growth and learning.,4,Positive
FB426,EMP426,Sales,2024-01-29,I love the culture and the projects I am working on.,5,Positive
FB427,EMP427,Customer Support,2025-10-06,"The work is okay, typical corporate environment.",3,Neutral
FB428,EMP428,Sales,2025-01-11,"The benefits are fine, but could be better.",3,Neutral
FB429,EMP429,Marketing,2025-01-23,The workload is too heavy and I feel burned out.,2,Negative
FB430,EMP430,Operations,2024-11-12,"The work is okay, typical corporate environment.",3,Neutral
FB431,EMP431,Customer Support,2024-09-14,"Just doing my daily tasks, things are normal.",3,Neutral
FB432,EMP432,Finance,2024-03-24,The workload is too heavy and I feel burned out.,2,Negative
FB433,EMP433,HR,2024-11-25,The management is very supportive and I feel valued.,4,Positive
FB434,EMP434,Customer Support,2025-07-20,Amazing opportunities for growth and learning.,4,Positive
FB435,EMP435,IT,2025-08-31,The tools we use are outdated and slow.,1,Negative
FB436,EMP436,Marketing,2025-02-17,I don't feel valued for the work I do.,2,Negative
FB437,EMP437,Sales,2025-07-15,Collaborative environment and friendly colleagues.,4,Positive
FB438,EMP438,Operations,2025-08-16,Lack of career progression and training.,2,Negative
FB439,EMP439,Marketing,2025-12-04,Great work-life balance and excellent benefits.,5,Positive
